fecha,diferencia_roa,diferencia_roe,diferencia_morosidad,diferencia_tamano_activo,diferencia_ratio_eficiencia_operativa,diferencia_margen_financiero_neto
2022-12-01,0.9377255275787588,8.51170515448575,-1.4299999999999997,293996253.5627599,-18.263738688876224,14648188.9939
2023-01-01,0.9972546908243831,8.895587018965788,-1.7800000000000002,297967328.9485401,-22.15889874182576,1184221.44413
2023-02-01,1.0406830454884783,9.13262466843395,-1.8100000000000005,298420171.9311599,-19.711734922886578,2323629.6329999994
2023-03-01,1.0618121669993408,9.208514830107424,-1.71,300167701.88411,-20.315741896697006,3523656.1704200013
2023-04-01,1.0760517965163152,9.140915026817922,-1.67,295512960.9543401,-20.47662382267626,4559003.27824
2023-05-01,1.1548048480727044,9.62330579637859,-1.6000000000000005,292085439.06979996,-20.706573893321952,5708661.5343700005
2023-06-01,1.2200668582574732,9.974431044992475,-1.6099999999999994,295955295.77253,-21.30937875574695,6508043.384329999
2023-07-01,1.2565209558881232,10.07507265554364,-1.71,298645638.0250401,-21.30172966988291,7401558.32235
2023-08-01,1.3241679225472702,10.467505462851566,-1.3500000000000005,299500867.15128005,-21.24316648976845,8447651.458659995
2023-09-01,1.3492610463951529,10.501342356709884,-1.4100000000000001,295365472.73265004,-20.927245604382165,9274092.466829997
2023-10-01,1.3435753570820035,10.336982758309627,-1.5099999999999998,296111706.03526,-20.778693843879665,10033999.14579
2023-11-01,1.3672190716254944,10.433168922291518,-1.54,298144242.18579006,-20.696655367922332,11052825.165429998
2023-12-01,1.4274888461129465,10.883828086869471,-1.3999999999999995,301819991.35107005,-20.632109736892858,11944785.304529995
2024-01-01,1.4382935729471753,10.87505177609887,-1.7199999999999998,302907887.46042,-23.979695350777234,871961.4823599999
2024-02-01,1.4392192974561318,10.800788440688061,-1.96,303658887.8680799,-21.694509041050388,1940410.0553700002
2024-03-01,1.4444817176470695,10.892931086294997,-2.3200000000000003,303940633.67888004,-20.959961351013057,2773919.45184
2024-04-01,1.4537303991133603,10.982855344861433,-2.37,301360947.2762601,-20.424609528078726,3484727.060169999
2024-05-01,1.3595250831555263,10.277543259873685,-2.5299999999999994,301763768.77645,-19.808199120460536,4462093.339010001
2024-06-01,1.3309241352562344,10.004699994477088,-2.630016950220532,315403650.0326899,-19.427004617092038,5463947.554590002
2024-07-01,1.296903557410858,9.681330880670808,-2.0,308676196.53612995,-19.463342280022417,7094093.819249999
2024-08-01,1.2522022248011586,9.198911653492024,-2.21,307475866.59063,-19.318589720735666,8407160.093570001
2024-09-01,1.187551071745601,8.498308296436576,-2.2200000000000006,304279717.68286,-18.834986207409223,9943771.519550001
2024-10-01,1.1888995895242613,8.363014295898449,-2.2,305859496.47819996,-18.029324297690543,10827933.510480002
2024-11-01,1.1631355398358378,8.027078785970499,-2.3600000000000003,301468376.86555,-17.542711325602603,12352410.831689995
2024-12-01,1.1113271935384499,7.403478415642565,-2.2300000000000004,303315135.32295,-16.622674386387885,13709427.723309997
2025-01-01,1.1057507016479837,7.214714065243951,-2.46,309893373.0046299,-19.299614731197636,1674337.55381
2025-02-01,1.0740873083519598,6.8092154306835315,-2.7300000000000004,309383671.97803,-16.951260235759598,3173618.662490001
2025-03-01,1.0462881297265523,6.351834363343633,-2.67,309961110.3154501,-15.860671941436628,4548856.415459999
2025-04-01,0.9923550141596575,5.712397939459363,-2.5100000000000002,308389202.2149401,-15.06569475546302,6138900.418209999
2025-05-01,1.019617930272866,5.721838863043951,-2.52,308112616.27338004,-14.526737328446501,7805189.83093
2025-06-01,1.0205745878113284,5.463465427566133,-2.6000000000000005,310241413.76291007,-14.555848973682345,9852591.2176
2025-07-01,0.9383594832870368,4.619839619580661,-2.61,313756312.59009004,-13.910218242497898,11294509.63453
2025-08-01,0.8539369507076204,3.7508974645399054,-2.63,312292556.08791995,-13.407351539655977,13070372.48526
2025-09-01,0.8103412232033933,3.2854406964935894,-2.5,311524235.99689,-12.933909720246945,14840783.767290005
2025-10-01,0.8036315228693223,3.107312561437645,-2.3800000000000003,313781670.3585501,-12.693348770507285,16625643.709979998
2025-11-01,0.7573179106185772,2.6108226219876443,-2.2700000000000005,317916970.63149005,-12.126963954983545,18060613.03034
2025-12-01,0.7056208098735615,2.1462319586341643,-2.24,326671163.9939501,-12.16983614052672,19660103.732669987
